mercado_name,mes,agente_name,vtpui_miles_millones_cop,recaudo_propio_miles_millones_cop,giros_recibidos_miles_millones_cop,pct_apalancamiento_cior,param_rcpui,param_competitivo,param_cfpui
,2026-02-01,ENEL COLOMBIA SA ESP,4.802364689713567e-05,4.802364689713567e-05,0,1981858.620270169,0.03,f,0.025
,2024-11-01,ENEL COLOMBIA SA ESP,4.509764748021402e-05,4.509764748021402e-05,0,1980170.6291934487,0.03,f,0.025
,2024-05-01,ENEL COLOMBIA SA ESP,4.732019065635554e-05,4.732019065635554e-05,0,1979292.142751798,0.03,f,0.025
,2025-02-01,ENEL COLOMBIA SA ESP,4.637842864972332e-05,4.637842864972332e-05,0,1916319.9858541705,0.03,f,0.025
,2026-08-01,ENEL COLOMBIA SA ESP,4.60311954179247e-05,4.60311954179247e-05,0,418964.880377568,0.03,f,0.025
,2026-07-01,ENEL COLOMBIA SA ESP,4.921955163255896e-05,4.921955163255896e-05,0,413009.9808758131,0.03,f,0.025
,2024-09-01,ENEL COLOMBIA SA ESP,4.6580690756942386e-05,4.6580690756942386e-05,0,402661.60503430554,0.03,f,0.025
,2025-09-01,ENEL COLOMBIA SA ESP,5.0084337274143866e-05,5.0084337274143866e-05,0,398757.15652134805,0.03,f,0.025
,2025-09-01,ENEL COLOMBIA SA ESP,5.008438855015737e-05,5.008438855015737e-05,0,397135.4644918193,0.03,f,0.025
,2026-08-01,ENEL COLOMBIA SA ESP,4.6031929551170087e-05,4.6031929551170087e-05,0,392717.60232041974,0.03,f,0.025
,2026-07-01,ENEL COLOMBIA SA ESP,4.9220458027772285e-05,4.9220458027772285e-05,0,383811.2897943567,0.03,f,0.025
,2025-08-01,ENEL COLOMBIA SA ESP,4.728773674401389e-05,4.728773674401389e-05,0,379560.91607245937,0.03,f,0.025
,2024-10-01,ENEL COLOMBIA SA ESP,4.5978621618374456e-05,4.5978621618374456e-05,0,377121.09682963556,0.03,f,0.025
